,CPI_t
01/11/2017,253.816
01/12/2017,254.344
01/01/2018,255.204
01/02/2018,255.711
01/03/2018,256.271
01/04/2018,256.63
01/05/2018,257.145
01/06/2018,257.399
01/07/2018,257.699
01/08/2018,257.891
01/09/2018,258.368
01/10/2018,258.917
01/11/2018,259.439
01/12/2018,260.063
01/01/2019,260.686
01/02/2019,261.067
01/03/2019,261.537
01/04/2019,261.976
01/05/2019,262.304
01/06/2019,262.859
01/07/2019,263.313
01/08/2019,263.975
01/09/2019,264.425
01/10/2019,264.94
01/11/2019,265.484
01/12/2019,265.924
01/01/2020,266.626
01/02/2020,267.283
01/03/2020,267.09
01/04/2020,265.771
01/05/2020,265.574
01/06/2020,265.952
01/07/2020,267.352
01/08/2020,268.469
01/09/2020,268.938
01/10/2020,269.236
01/11/2020,269.901
01/12/2020,270.267
01/01/2021,270.383
01/02/2021,270.727
01/03/2021,271.526
01/04/2021,273.615
01/05/2021,275.654
01/06/2021,277.676
01/07/2021,278.522
01/08/2021,279.057
01/09/2021,279.755
01/10/2021,281.588
01/11/2021,283.34
01/12/2021,285.193
01/01/2022,286.792
01/02/2022,288.147
01/03/2022,289.046
01/04/2022,290.41
01/05/2022,292.251
01/06/2022,294.017
01/07/2022,294.925
01/08/2022,296.639
01/09/2022,298.339
01/10/2022,299.333
01/11/2022,300.261
01/12/2022,301.46
01/01/2023,302.702
01/02/2023,304.07
01/03/2023,305.24
01/04/2023,306.489
01/05/2023,307.824
01/06/2023,308.309
01/07/2023,308.801
01/08/2023,309.661
01/09/2023,310.661
01/10/2023,311.365
